0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Mauritania,Nouakchott,Muritan / Agawec・Eｵ・E・Eｵ・E・Eｵ・E・Eｵ・E・Eｵ・E・Eｴｰ・Eｵ・E / ・Eｴｰ・Eｴｳ・Eｴｰ・Eｵ｡・Eｵ・EMuritcnycﾙ・Eﾙ・Eﾘｱﾙ・Eﾘｪﾘｧﾙ・Eﾙ・Eﾘｧ,Nwakcu・Eｹｭ / anu ukcu・Eｸ・E・Eｵ・E・Eｵ｡・Eｴｰ・Eｴｽ・Eｵ・E・Eｵ・E・Eｵ・E / ・Eｴｰ・Eｵ・E・Eｵ・E ・Eｵ・E・Eｴｽ・Eｵ・E・Eｵ・E・Eｴｹnwaksu・Eｹｭﾙ・Eﾙ・Eﾘｧﾙ・Eﾘｴﾙ・Eﾘｷ / ﾘ｣ﾙ・Eﾙ・E ﾘ､ﾙ・Eﾘｴﾙ・Eﾘｶ,Berber language(Tifinagh script)Arabic(Arabic script),,,,,,,,,,,,,
Mauritius,Port Louis,MauritiusMauriceMoris,Port LouisPort-LouisPorlwi,EnglishFrenchMauritian Creole,,,,,,,,,,,,,
Mayotte[9],Mamoudzou,MayotteMaore,MamoudzouMomoju,FrenchShimaore,,,,,,,,,,,,,
Mexico,Mexico City,MexicoMcxihco,Ciudad de Mexicoﾄltepctl Mcxihco,SpanishNahuatl,,,,,,,,,,,,,
Federated States of Micronesia,Palikir,Federated States of Micronesia,Palikir,English,,,,,,,,,,,,,
Moldova,Chisincu,Moldova,Chisincu,Romanian,,,,,,,,,,,,,
Monaco,Monaco,Monaco  Munegu,Monaco  Munegu,French  Monegasque,,,,,,,,,,,,,
Mongolia,Ulaanbaatar,"Mongol Ulsﾐ・Eﾐｾﾐｽﾐｳﾐｾﾐｻ ﾐ｣ﾐｻﾑ・E.mw-parser-output .font-mong{font-family:""nk Hawang Tig"",""Menk Qagan Tig"",""Menk Garqag Tig"",""Menk Har_a Tig"",""Menk Scnin Tig"",""Oyun Gurban Ulus Tig"",""Oyun Qagan Tig"",""Oyun Garqag Tig"",""Oyun Har_a Tig"",""Oyun Scnin Tig"",""Oyun Agula Tig"",""Mongolian Baiti"",""Noto Sans Mongolian"",""Mongolian Universal White"",""Mongol Usug"",""Mongolian White"",""MongolianScript"",""Code2000"",""Menksoft Qagan""}.mw-parser-output .font-mong-mnc,.mw-parser-output .font-mong:lang(mnc-Mong),.mw-parser-output .font-mong:lang(dta-Mong),.mw-parser-output .font-mong:lang(sjo-Mong){font-family:""Abkai Xanyan"",""Abkai Xanyan LA"",""Abkai Xanyan VT"",""Abkai Xanyan XX"",""Abkai Xanyan SC"",""Abkai Buleku"",""Daicing White"",""Mongolian Baiti"",""Noto Sans Mongolian"",""Mongolian Universal White""}・Eｮ・E､・Eｩ・Eｭ・E､・Eｯ・E､・Eｯ・E､・Eｰ",Ulaanbaatarﾐ｣ﾐｻﾐｰﾐｰﾐｽﾐｱﾐｰﾐｰﾑ・Eﾐｰﾑ・E､・Eｯ・E・Eｭ・E・Eｨ・Eｪ・E・Eｭ・E・Eｲ・E､・Eｷ,Mongolian(Cyrillic script)(Mongol script),,,,,,,,,,,,,
Montenegro,Podgorica,Crna Goraﾐｦﾑﾐｽﾐｰ ﾐ・Eﾐｾﾑﾐｰ,Podgoricaﾐ・Eﾐｾﾐｴﾐｳﾐｾﾑﾐｸﾑ・Eﾐｰ,Montenegrin,,,,,,,,,,,,,
Montserrat[2],Brades Estate[15],Montserrat,Brades Estate,English,,,,,,,,,,,,,
Morocco,Rabat,Amerruk / Elmeﾉ｣rib・Eｴｰ・Eｵ・E・Eｵ・E・Eｵ・E・Eｵ・E・Eｴｽ / ・Eｵ・E・Eｵ・E・Eｵ・E・Eｵ・E・Eｵ・E・EｴｱAl-maﾉ｣rebﾘｧﾙ・Eﾙ・Eﾘｺﾘｱﾘｨ,Errba・Eｹｭ・Eｵ・E・Eｵ・E・Eｴｱ・Eｴｰ・Eｵ・EAr-ribaa・Eｹｭﾘｧﾙ・Eﾘｱﾘｨﾘｧﾘｷ,Berber language(Tifinagh script)Arabic(Arabic script),,,,,,,,,,,,,
Mozambique,Maputo,Mocambique,Maputo,Portuguese,,,,,,,,,,,,,
Myanmar (or Burma),Naypyidaw,Myanma・Eｼ・Eｺ・Eｬ,Nay Pyi Taw・Eｱ・Eｼ・Eｺ・Eｱ・Eｬ・Eｺ,Burmese(Burmese alphabet),,,,,,,,,,,,,
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script),,,,,,,,,,,,,
Namibia,Windhoek,Namibia Namibia Namibie Namibia Namibia,WindhoekWindhukWindhoek/Ae-//GamsOtjomuise,EnglishGermanAfrikaansDamara/NamaHerero,,,,,,,,,,,,,
Nauru,Yaren (de facto)[16],NauruNaoero,YarenYaren,EnglishNauruan,,,,,,,,,,,,,
Nepal,Kathmandu,Nepcl・E､ｨ・E･・E・E､ｪ・E､ｾ・E､ｲ,Kc・Eｹｭhamc・Eｹ・E・Eｸ・Eau・Eｹ・E・E､・E・E､ｾ・E､・E､ｮ・E､ｾ・E､｣・E･・E・E､｡・E･・E・E､・EKcntipura・E､・E・E､ｾ・E､ｨ・E･・E・E､､・E､ｿ・E､ｪ・E･・E・E､ｰYen Dey・E､ｯ・E･・E・E､・E ・E､ｦ・E･・E・E､ｯ・E･・E,NepaleseDevanagari,,,,,,,,,,,,,
Netherlands,Amsterdam,NederlandNederlan,AmsterdamAmsterdam,DutchWest Frisian,,,,,,,,,,,,,
New Caledonia[17],Noumea,Nouvelle-Caledonie,Noumea,French,,,,,,,,,,,,,
New Zealand[18],Wellington,New ZealandAotearoa,WellingtonPoneke/Te Whanganui-a-Tara,EnglishMcori,,,,,,,,,,,,,
Nicaragua,Managua,Nicaragua,Managua,Spanish,,,,,,,,,,,,,
Niger,Niamey,Niger,Niamey,French,,,,,,,,,,,,,
Nigeria,Abuja,Nigeria  Nijeriya  Naﾃｬjiriyﾃ  Nﾃﾃｬjiriﾃ,Abuja Abuja Abuja  ﾃbuja,English Hausa Igbo Yoruba,,,,,,,,,,,,,
Niue[7],Alofi,NiucNiue,AlofiAlofi,NiueanEnglish,,,,,,,,,,,,,
Norfolk Island[6],Kingston,Norfolk Island Norf'k Ailen,Kingston Kingston,English Norfuk,,,,,,,,,,,,,
North Macedonia,Skopje,Severna Makedonijaﾐ｡ﾐｵﾐｲﾐｵﾑﾐｽﾐｰ ﾐ・Eﾐｰﾐｺﾐｵﾐｴﾐｾﾐｽﾐｸﾑ・EﾐｰMaqedonia e Veriut,Skopjeﾐ｡ﾐｺﾐｾﾐｿﾑ・Eﾐｵ  Shkup,Macedonian(Cyrillic script)Albanian,,,,,,,,,,,,,
Northern Mariana Islands[1],Saipan,Northern Mariana Islands  Notte Mariﾃ･nas,Saipan  Saipan,English Chamorro,,,,,,,,,,,,,
Norway,Oslo,NorgeNoregNorgaVuodnaNoeoerje,OsloOsloOsloOsloOslo,Norwegian Bokmﾃ･lNorwegian NynorskNorthern SamiLule SamiSouthern Sami,,,,,,,,,,,,,
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script),,,,,,,,,,,,,
Oman,Muscat,Umcnﾘｹﾙ・Eﾙ・Eﾘｧﾙ・E,Masqa・Eｹｭﾙ・Eﾘｳﾙ・Eﾘｷ,Arabic(Arabic script),,,,,,,,,,,,,
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script),,,,,,,,,,,,,
Pakistan,Islamabad,Pckistcnﾙｾﾘｧﾚｩﾘｳﾘｪﾘｧﾙ・E,Islcmabcdﾘｧﾘｳﾙ・Eﾘｧﾙ・Eﾘｧﾘｨﾘｧﾘｯ,EnglishUrdu(Arabic script [Nastaﾊｿliq hand]),,,,,,,,,,,,,
Palau,Ngerulmud,BelauPalau,NgerulmudNgerulmud,EnglishPalauan,,,,,,,,,,,,,
Palestine[14],East Jerusalem (declared)  Ramallah (administrative capital)[lower-alpha 2],Filas・Eｹｭinﾙ・Eﾙ・Eﾘｳﾘｷﾙ・Eﾙ・E,Al-Quds Al-Sharqitﾘｧﾙ・Eﾙ・Eﾘｯﾘｳ ﾘｧﾙ・Eﾘｴﾘｱﾙ・Eﾙ・EﾘｩRcmallchﾘｱﾘｧﾙ・E ﾘｧﾙ・Eﾙ・Eﾙ・E,Arabic(Arabic script),,,,,,,,,,,,,
Panama,Panama City,Panama,Ciudad de Panama,Spanish,,,,,,,,,,,,,
Papua New Guinea,Port Moresby,Papua New GuineaPapua NiuginiPapua Niu Gini,Port MoresbyPot MosbiPot Mosbi,EnglishTok PisinHiri Motu,,,,,,,,,,,,,
Paraguay,Asuncion,ParaguayParaguai,AsuncionParaguay,SpanishGuarani,,,,,,,,,,,,,
Peru,Lima,PeruPiruw,LimaLima,SpanishQuechua/Aymara,,,,,,,,,,,,,
Philippines,Manila,PilipinasPhilippines,MaynilaManila,FilipinoEnglish,,,,,,,,,,,,,
Pitcairn Islands[2],Adamstown,Pitcairn Islands  Pitkern Ailen,Adamstown Adamstown,English Pitcairnese,,,,,,,,,,,,,
Poland,Warsaw,Polska,Warszawa,Polish,,,,,,,,,,,,,
Portugal,Lisbon,Portugal,Lisboa,Portuguese,,,,,,,,,,,,,
Puerto Rico[1],San Juan,Puerto Rico,San Juan,"English, Spanish",,,,,,,,,,,,,
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script),,,,,,,,,,,,,
Qatar,Doha,Qa・Eｹｭarﾙ・Eﾘｷﾘｱ,Ad-Daw・Eｸ･ahﾘｧﾙ・Eﾘｯﾙ・Eﾘｭﾘｩ,Arabic(Arabic script),,,,,,,,,,,,,
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script),,,,,,,,,,,,,
Reunion[9],Saint-Denis,La Reunion,Saint-Denis,French,,,,,,,,,,,,,
Romania,Bucharest,Romania,Bucuresti,Romanian,,,,,,,,,,,,,
Russia,Moscow,Rossiya or Rossiaﾐﾐｾﾑ・Eﾑ・Eﾐｸﾑ・E[5],Moskvaﾐ・Eﾐｾﾑ・Eﾐｺﾐｲﾐｰ,Russian(Cyrillic script),,,,,,,,,,,,,
Rwanda,Kigali,Rwanda,Kigali,"French, Kinyarwanda, Swahili, English",,,,,,,,,,,,,
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script),,,,,,,,,,,,,
Sahrawi Arab Democratic Republic[14],Laayoune,Al-Jumhuriyah al-Arabiyah a・Eｹ｣-・Eｹ｢a・Eｸ･rcwiyah ad-Dimuqrc・Eｹｭiyah  ﾘｧﾙ・Eﾘｬﾙ・Eﾙ・Eﾙ・Eﾘｱﾙ・Eﾘｩ ﾘｧﾙ・Eﾘｹﾘｱﾘｨﾙ・Eﾘｩ ﾘｧﾙ・Eﾘｵﾘｭﾘｱﾘｧﾙ・Eﾙ・Eﾘｩ ﾘｧﾙ・Eﾘｯﾙ・Eﾙ・Eﾙ・Eﾘｱﾘｧﾘｷﾙ・Eﾘｩ  Republica Orabe Saharaui Democratica  Republique Arabe Sahraouie Democratique,Al-ﾊｿAyyun ﾙ・Eﾘｹﾙ・Eﾙ・Eﾙ・E El Aaiun  Laayoune,Arabic(Arabic script)SpanishFrench,,,,,,,,,,,,,
Saint Barthelemy[10],Gustavia,Saint-Barthelemy,Gustavia,French,,,,,,,,,,,,,
"Saint Helena, Ascension and Tristan da Cunha[2]",Jamestown,"Saint Helena, Ascension and Tristan da Cunha",Jamestown,English,,,,,,,,,,,,,
Saint Kitts and Nevis,Basseterre,Saint Kitts and Nevis,Basseterre,English,,,,,,,,,,,,,
Saint Martin[10],Marigot,Saint-Martin,Marigot,French,,,,,,,,,,,,,
Saint Lucia,Castries,Saint Lucia,Castries,English,,,,,,,,,,,,,
Saint Pierre and Miquelon[10],Saint-Pierre,Saint-Pierre et Miquelon,Saint-Pierre,French,,,,,,,,,,,,,
Saint Vincent and the Grenadines,Kingstown,Saint Vincent and the Grenadines,Kingstown,English,,,,,,,,,,,,,
Samoa,Apia,Samoa Scmoa,Apia Apia,EnglishSamoan,,,,,,,,,,,,,
San Marino,San Marino,San Marino,San Marino,Italian,,,,,,,,,,,,,
Sao Tome and Principe,Sao Tome,Sao Tome e Principe,Sao Tome,Portuguese,,,,,,,,,,,,,
Saudi Arabia,Riyadh,Al-Mamlaka Al-Arabiyyah as Saudiyyahﾘｧﾙ・Eﾙ・Eﾙ・Eﾙ・Eﾙ・Eﾘｩ ﾘｧﾙ・Eﾘｹﾘｱﾘｨﾙ・Eﾘｩ ﾘｧﾙ・Eﾘｳﾘｹﾙ・Eﾘｯﾙ・Eﾘｩ,Ar-Riyc・Eｸ・Eﾘｧﾙ・Eﾘｱﾙ・Eﾘｧﾘｶ,Arabic(Arabic script),,,,,,,,,,,,,
Senegal,Dakar,SenegalSenegaal,DakarNdakaaru,FrenchWolof,,,,,,,,,,,,,
Serbia,Belgrade,Srbijaﾐ｡ﾑﾐｱﾐｸﾑ・Eﾐｰ,Beogradﾐ・Eﾐｵﾐｾﾐｳﾑﾐｰﾐｴ,Serbian(Cyrillic script),,,,,,,,,,,,,
Seychelles,Victoria,SeselSeychellesSeychelles,Victoria or Port Victoria,Seychellois CreoleFrenchEnglish,,,,,,,,,,,,,
Sierra Leone,Freetown,Sierra Leone,Freetown,English,,,,,,,,,,,,,
Singapore,Singapore,SingapuraSingaporeXinjicpo・E・Eｰ・E・E・E・E｡Singapur・Eｮ・E・Eｮｿ・Eｮ・E・Eｯ・E・Eｮ・E・Eｮｪ・Eｯ・E・Eｮｪ・Eｯ・E・Eｮｰ・Eｯ・E,SingapuraSingaporeXinjicpo・E・Eｰ・E・E・E・E｡Singapur・Eｮ・E・Eｮｿ・Eｮ・E・Eｯ・E・Eｮ・E・Eｮｪ・Eｯ・E・Eｮｪ・Eｯ・E・Eｮｰ・Eｯ・E,MalayEnglishMandarin Chinese(Simplified Chinese characters)Tamil(Tamil script),,,,,,,,,,,,,
Sint Maarten[3],Philipsburg,Sint MaartenSint Maarten,PhilipsburgPhilipsburg,DutchEnglish,,,,,,,,,,,,,
Slovakia,Bratislava,Slovensko,Bratislava,Slovak,,,,,,,,,,,,,
Slovenia,Ljubljana,Slovenija,Ljubljana,Slovene,,,,,,,,,,,,,
Solomon Islands,Honiara,Solomon IslandsSolomon Aelan,HoniaraHoniala,EnglishNeo-Solomonic,,,,,,,,,,,,,
Somalia,Mogadishu,Soomaaliyaao-oumclﾘｧﾙ・Eﾘｵﾙ・Eﾙ・Eﾘｧﾙ・E,MuqdishoMaqadishuﾙ・Eﾙ・Eﾘｯﾙ・Eﾘｴﾙ・E,SomaliArabic(Arabic script),,,,,,,,,,,,,
South Africa,"Pretoria (administrative capital), Cape Town (legislative capital), Bloemfontein, (judicial capital)",South AfricaSuid-AfrikaiNingizimu AfrikauMzantsi AfrikaAfrika-BorwaAfrika BorwaAforika BorwaAfurika TshipembeAfrika DzongaiNingizimu AfrikaiSewula Afrika,"Pretoria, Cape TownPretoria, KaapstadiPitoli, iKapaiPitoli, iKapaPretoriaPretoriaPretoriaPretoriaPitoriiPitoliiPitori",EnglishAfrikaansisiZuluisiXhosaPediSothoTswanaVendaTsongaSwaziNdebele,,,,,,,,,,,,,
South Sudan,Juba,South Sudan  Sudan Kusini Paguot Thudaen,Juba Juba Juba,English Swahili   Dinka,,,,,,,,,,,,,
Spain,Madrid,EspanaEspanyaEspainiaEspanha,MadridMadridMadrilMadrid,"Spanish, GalicianCatalanBasqueAranese, Galician (R)",,,,,,,,,,,,,
Sri Lanka,Sri Jayawardenapura Kotte,Sri Lankc・Eｷ・E・Eｷ・E・Eｶｻ・Eｷ・E ・Eｶｽ・Eｶ・E・Eｶ・E・Eｷ・E・Eｷ・Eｮ・E・Eｮｲ・Eｮ・E・Eｯ・E・Eｮ・E・Eｯ・E,Sri Jayawardenapura Kotte・Eｷ・E・Eｷ・E・Eｶｻ・Eｷ・E ・Eｶ｢・Eｶｺ・Eｷ・Eｶｻ・Eｷ・E・Eｶｰ・Eｶｱ・Eｶｴ・Eｷ・E・Eｶｻ ・Eｶ・E・Eｷ・E・Eｶｧ・Eｷ・E・Eｶｧ・Eｷ・E・Eｮｶ・Eｯ・E・Eｮｰ・Eｯ ・Eｮ・E・Eｯ・E・Eｮｯ・Eｮｵ・Eｮｰ・Eｯ・E・Eｮ､・Eｯ・E・Eｮ､・Eｮｩ・Eｮｪ・Eｯ・E・Eｮｰ・Eｮｮ・Eｯ・E ・Eｮ・E・Eｯ・E・Eｮ・E・Eｯ・E・Eｮ・E・Eｯ・E,SinhalaTamil,,,,,,,,,,,,,
Sudan,Khartoum,As-Sudanﾘｧﾙ・Eﾘｳﾙ・Eﾘｯﾘｧﾙ・E,Al-Khartﾃｻmﾘｧﾙ・Eﾘｮﾘｱﾘｷﾙ・Eﾙ・E,Arabic(Arabic script),,,,,,,,,,,,,
Suriname,Paramaribo,Suriname,Paramaribo,Dutch,,,,,,,,,,,,,
Svalbard[19],Longyearbyen,Svalbard,Longyearbyen,Norwegian,,,,,,,,,,,,,
Sweden,Stockholm,Sverige,Stockholm,Swedish,,,,,,,,,,,,,
Switzerland,Bern (de facto)[16],SchweizSuisseSvizzeraSvizra,BernBerneBernaBerna,GermanFrenchItalianRomansh,,,,,,,,,,,,,
Syria,Damascus,Suriyahﾘｳﾙ・Eﾘｱﾙ・Eﾘｩ,Dimashq / Ash-Shamﾘｧﾙ・Eﾘｴﾘｧﾙ・E / ﾘｯﾙ・Eﾘｴﾙ・E,Arabic(Arabic script),,,,,,,,,,,,,
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script),,,,,,,,,,,,,
Taiwan (Republic of China)[14],Taipei,Zhonghua Minguo or Taiwcn・Eｸｭ・E・Eｯ・Eｰ・E・E・E・E or ・E・Eｺ・E・E｣/・E・Eｰ・E・E｣,Taibci・E・Eｺ・E・E・E/・E・Eｰ・E・E・E,Chinese(Traditional Chinese characters),,,,,,,,,,,,,
Tajikistan,Dushanbe,Tojikistanﾐ｢ﾐｾﾒｷﾐｸﾐｺﾐｸﾑ・Eﾑ・Eﾐｾﾐｽ,Dushanbeﾐ・Eﾑ・Eﾑ・Eﾐｰﾐｽﾐｱﾐｵ,Tajiki-Persian(Cyrillic),,,,,,,,,,,,,
Tanzania,Dodoma,Tanzania,Dodoma,"English, Swahili",,,,,,,,,,,,,
Thailand,Bangkok,"Thai, Prathet Thai, Ratcha-anachak Thai・Eｹ・E・Eｸ・E・Eｸ｢, ・Eｸ・E・Eｸ｣・Eｸｰ・Eｹ・Eｸ・E・Eｸｨ・Eｹ・E・Eｸ・E・Eｸ｢, ・Eｸ｣・Eｸｲ・Eｸ・E・Eｸｭ・Eｸｲ・Eｸ・E・Eｸｲ・Eｸ・E・Eｸｱ・Eｸ・E・Eｸ｣・Eｹ・E・Eｸ・E・Eｸ｢","Krung Thep, Krung Thep Maha Nakhon・Eｸ・E・Eｸ｣・Eｸｸ・Eｸ・E・Eｹ・Eｸ・E・Eｸ・E・Eｸｯ, ・Eｸ・E・Eｸ｣・Eｸｸ・Eｸ・E・Eｹ・Eｸ・E・Eｸ・E・Eｸ｡・Eｸｫ・Eｸｲ・Eｸ・E・Eｸ・E・Eｸ｣",Thai(Thai script),,,,,,,,,,,,,
Togo,Lome,Togo Togo Togo,Lome  Lome  Loma,French Ewe  Kabiye,,,,,,,,,,,,,
Tokelau[20],,Tokelau,,"English, Tokelauan",,,,,,,,,,,,,
Tonga,Nukualofa,Tonga,Nukualofa,"Tongan, English",,,,,,,,,,,,,
Trinidad and Tobago,Port of Spain,Trinidad and Tobago,Port of Spain,English,,,,,,,,,,,,,
Tunisia,Tunis,Tunes・Eｵ・E・Eｵ・E・Eｵ・E・Eｵ・ETunsﾘｪﾙ・Eﾙ・Eﾘｳ,Tunes・Eｵ・E・Eｵ・E・Eｵ・E・Eｵ・ETunsﾘｪﾙ・Eﾙ・Eﾘｳ,Berber language(Tifinagh script)Arabic(Arabic script),,,,,,,,,,,,,
Turkey,Ankara,Tuerkiye,Ankara,Turkish,,,,,,,,,,,,,
Turkmenistan,Ashgabat,Tuerkmenistan,Aogabat,Turkmen,,,,,,,,,,,,,
Turks and Caicos Islands[2],Cockburn Town,Turks and Caicos Islands,Cockburn Town,English,,,,,,,,,,,,,
Tuvalu,Fongafale (in Funafuti),Tuvalu,Fongafale,"English, Tuvaluan",,,,,,,,,,,,,
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script),,,,,,,,,,,,,
Uganda,Kampala,Uganda,Kampala,"English, Swahili",,,,,,,,,,,,,
Ukraine,Kyiv,Ukrajinaﾐ｣ﾐｺﾑﾐｰﾑ・Eﾐｽﾐｰ,Kyjivﾐ・Eﾐｸﾑ・Eﾐｲ,Ukrainian(Cyrillic script),,,,,,,,,,,,,
United Arab Emirates,Abu Dhabi,Al-Imcrat Al-Arabiyyah Al-Mutta・Eｸ･idahﾘｧﾙ・Eﾘ･ﾙ・Eﾘｧﾘｱﾘｧﾘｪ ﾘｧﾙ・Eﾘｹﾘｱﾘｨﾙ・Eﾙ・Eﾘｩ ﾘｧﾙ・Eﾙ・Eﾘｪﾙ・Eﾘｭﾘｯﾘｩ,Abu ・Eｺ・Eabiﾘ｣ﾘｨﾙ・Eﾘｸﾘｨﾙ・E,Arabic(Arabic script),,,,,,,,,,,,,
United Kingdom,London,United Kingdom or BritainY Deyrnas UnedigUnitit KinrickRﾃｬoghachd AonaichteRiocht AontaitheAn Rywvaneth Unys,LondonLlundainLunnonLunnainnLondainLoundres,EnglishWelshScotsScots GaelicIrishCornish,,,,,,,,,,,,,
United States,"Washington, D.C.",United States or AmericaEstados UnidosOtats-Unis(multiple names)Amelika Hui Pu ia,"Washington, D.C., Washington, or D.C.Washington D.C.Washington, D.C.(multiple names)Wakinekona/ Wasinetona",EnglishSpanishCajun FrenchIndigenousHawaiian,,,,,,,,,,,,,
United States Virgin Islands[1],Charlotte Amalie,United States Virgin Islands,Charlotte Amalie,English,,,,,,,,,,,,,
Uruguay,Montevideo,Uruguay,Montevideo,Spanish,,,,,,,,,,,,,
Uzbekistan,Tashkent,Ozbekistonﾐ・Eﾐｷﾐｱﾐｵﾐｺﾐｸﾑ・Eﾑ・Eﾐｾﾐｽ,Toshkentﾐ｢ﾐｾﾑ・Eﾐｺﾐｵﾐｽﾑ・E,Uzbek(Cyrillic script),,,,,,,,,,,,,
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script),,,,,,,,,,,,,
Vanuatu,Port Vila,Vanuatu,Port-Vila,French,,,,,,,,,,,,,
Vatican City,Vatican City,Civitas Vaticana  Cittﾃ del Vaticano,Civitas Vaticana  Cittﾃ del Vaticano,LatinItalian,,,,,,,,,,,,,
Venezuela,Caracas,Venezuela,Caracas,Spanish,,,,,,,,,,,,,
Vietnam,Hanoi,Vi・Eｻ・Et Nam,Hﾃ N・Eｻ・Ei,Vietnamese,,,,,,,,,,,,,
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script),,,,,,,,,,,,,
Wallis and Futuna[10],Mata Utu,Wallis-et-FutunaUvea mo Futuna,Mata Utu  Matcutu,FrenchWallisianFutunan,,,,,,,,,,,,,
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script),,,,,,,,,,,,,
Yemen,Sana'a,Al-Yamanﾘｧﾙ・Eﾙ・Eﾙ・Eﾙ・E,・Eｹ｢anc・Eｺｻ・Eｻｨ・Eｻ・E・Eｺ・E・Eｺ,Arabic(Arabic script),,,,,,,,,,,,,
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script),,,,,,,,,,,,,
Zambia,Lusaka,Zambia,Lusaka,"English, Bemba, Chewa",,,,,,,,,,,,,
Zimbabwe,Harare,Zimbabwe,Harare,"English, Shona",,,,,,,,,,,,,
".mw-parser-output .navbar{display:inline;font-size:88%;font-weight:normal}.mw-parser-output .navbar-collapse{float:left;text-align:left}.mw-parser-output .navbar-boxtext{word-spacing:0}.mw-parser-output .navbar ul{display:inline-block;white-space:nowrap;line-height:inherit}.mw-parser-output .navbar-brackets::before{margin-right:-0.125em;content:""[ ""}.mw-parser-output .navbar-brackets::after{margin-left:-0.125em;content:"" ]""}.mw-parser-output .navbar li{word-spacing:-0.125em}.mw-parser-output .navbar-mini abbr{font-variant:small-caps;border-bottom:none;text-decoration:none;cursor:inherit}.mw-parser-output .navbar-ct-full{font-size:114%;margin:0 7em}.mw-parser-output .navbar-ct-mini{font-size:114%;margin:0 4em}.mw-parser-output .infobox .navbar{font-size:100%}.mw-parser-output .navbox .navbar{display:block;font-size:100%}.mw-parser-output .navbox-title .navbar{float:left;text-align:left;margin-right:0.5em}vteCountries and languages lists",".mw-parser-output .navbar{display:inline;font-size:88%;font-weight:normal}.mw-parser-output .navbar-collapse{float:left;text-align:left}.mw-parser-output .navbar-boxtext{word-spacing:0}.mw-parser-output .navbar ul{display:inline-block;white-space:nowrap;line-height:inherit}.mw-parser-output .navbar-brackets::before{margin-right:-0.125em;content:""[ ""}.mw-parser-output .navbar-brackets::after{margin-left:-0.125em;content:"" ]""}.mw-parser-output .navbar li{word-spacing:-0.125em}.mw-parser-output .navbar-mini abbr{font-variant:small-caps;border-bottom:none;text-decoration:none;cursor:inherit}.mw-parser-output .navbar-ct-full{font-size:114%;margin:0 7em}.mw-parser-output .navbar-ct-mini{font-size:114%;margin:0 4em}.mw-parser-output .infobox .navbar{font-size:100%}.mw-parser-output .navbox .navbar{display:block;font-size:100%}.mw-parser-output .navbox-title .navbar{float:left;text-align:left;margin-right:0.5em}vteCountries and languages lists",,,,,,,,,,,,,,,,
